日付,降水量合計_mm,平均気温_℃,平均湿度_%,降雪量合計_cm,天気概況_昼
2023-03-01,0.0,12.2,55.0,,曇時々晴
2023-03-02,9.0,4.9,87.0,,雨時々曇、雷を伴う
2023-03-03,0.0,5.8,64.0,,晴一時曇
2023-03-04,0.0,7.3,63.0,,晴一時雨後曇、みぞれを伴う
2023-03-05,,6.1,71.0,,晴一時曇
2023-03-06,,7.4,72.0,,晴一時曇
2023-03-07,,10.4,53.0,,晴一時曇
2023-03-08,,14.2,36.0,,晴後一時曇
2023-03-09,,13.9,49.0,,晴後時々曇
2023-03-10,16.5,12.9,77.0,,曇時々雨後晴
2023-03-11,,10.0,79.0,,晴
2023-03-12,,16.3,55.0,,曇時々晴
2023-03-13,13.0,8.4,76.0,,雨後時々曇一時晴
2023-03-14,0.0,7.4,64.0,,晴一時曇
2023-03-15,,11.3,54.0,,晴時々曇
2023-03-16,8.0,13.1,64.0,,曇一時晴後雨
2023-03-17,0.0,7.9,76.0,,曇
2023-03-18,14.5,6.6,89.0,,雨
2023-03-19,,7.5,67.0,,晴一時曇
2023-03-20,,10.1,58.0,,晴時々曇
2023-03-21,0.0,15.0,50.0,,曇時々晴
2023-03-22,0.0,14.5,74.0,,晴
2023-03-23,9.5,13.7,85.0,,曇後時々雨
2023-03-24,11.5,12.5,92.0,,雨後一時曇
2023-03-25,0.0,10.4,80.0,,曇時々雨
2023-03-26,36.0,8.8,95.0,,雨
2023-03-27,6.0,9.2,75.0,,曇時々晴一時雨
2023-03-28,,8.2,73.0,,晴一時曇
2023-03-29,,8.7,62.0,,晴
2023-03-30,,10.4,59.0,,晴
2023-03-31,,15.4,44.0,,晴一時曇
2023-04-01,,11.3,70.0,,晴時々曇
2023-04-02,,10.1,75.0,,晴時々曇
2023-04-03,0.0,11.6,77.0,,晴一時雨
2023-04-04,,11.7,73.0,,晴
2023-04-05,0.0,16.1,57.0,,曇
2023-04-06,1.0,19.3,57.0,,曇一時雨
2023-04-07,31.5,15.0,89.0,,雨
2023-04-08,4.0,9.8,71.0,,曇時々雨一時晴、雷を伴う
2023-04-09,0.0,9.8,56.0,,晴
2023-04-10,,14.8,41.0,,晴
2023-04-11,,19.5,45.0,,晴時々曇
2023-04-12,15.5,13.8,67.0,,雨後曇時々晴
2023-04-13,,14.3,43.0,,晴
2023-04-14,,18.5,34.0,,曇時々晴
2023-04-15,8.0,14.0,84.0,,雨後時々曇
2023-04-16,2.5,13.8,77.0,,雨時々晴後曇
2023-04-17,0.0,11.1,72.0,,曇時々雨
2023-04-18,9.5,10.0,81.0,,雨時々曇
2023-04-19,0.0,13.7,89.0,,曇
2023-04-20,,19.5,70.0,,晴
2023-04-21,0.0,14.2,69.0,,曇後一時雨
2023-04-22,,11.2,49.0,,晴
2023-04-23,,10.9,55.0,,晴時々曇
2023-04-24,,10.2,51.0,,曇一時晴
2023-04-25,5.0,10.7,60.0,,曇時々晴後雨
2023-04-26,21.5,13.0,83.0,,雨時々曇
2023-04-27,2.0,13.3,73.0,,晴
2023-04-28,,16.5,62.0,,晴
2023-04-29,0.5,20.3,51.0,,晴後曇一時雨
2023-04-30,11.0,16.3,71.0,,曇時々雨
2023-05-01,0.0,15.1,56.0,,晴後一時雨一時曇
2023-05-02,,14.5,57.0,,晴
